bankTxnId,bookedAt,creditPaise,narration,utr
"bank-setl_1-a","2026-09-02T09:00:00Z","258601","RAZORPAY SETTLEMENT","UTR1A"
"bank-setl_2-a","2026-09-02T09:00:00Z","127109","RAZORPAY SETTLEMENT","UTR2A"
"bank-setl_3-a","2026-09-02T09:00:00Z","85231","RAZORPAY SETTLEMENT","UTR3A"
"bank-setl_4-a","2026-09-02T09:00:00Z","14146","RAZORPAY SETTLEMENT","UTR4A"
"bank-setl_5-a","2026-09-02T09:00:00Z","187174","RAZORPAY SETTLEMENT","UTR5A"
"bank-setl_6-a","2026-09-02T09:00:00Z","324765","RAZORPAY SETTLEMENT","UTR6A"
"bank-setl_7-a","2026-09-02T09:00:00Z","182159","RAZORPAY SETTLEMENT","UTR7A"
"bank-setl_8-a","2026-09-02T09:00:00Z","345438","RAZORPAY SETTLEMENT","UTR8A"
"bank-setl_9-a","2026-09-02T09:00:00Z","395850","RAZORPAY SETTLEMENT","UTR9A"
"bank-setl_10-a","2026-09-02T09:00:00Z","224842","RAZORPAY SETTLEMENT","UTR10A"
"bank-setl_11-a","2026-09-02T09:00:00Z","-37252","RAZORPAY SETTLEMENT","UTR11A"
"bank-setl_12-a","2026-09-02T09:00:00Z","93266","RAZORPAY SETTLEMENT","UTR12A"
"bank-setl_13-a","2026-09-02T09:00:00Z","60336","RAZORPAY SETTLEMENT","UTR13A"
"bank-setl_14-a","2026-09-02T09:00:00Z","138401","RAZORPAY SETTLEMENT","UTR14A"
"bank-setl_15-a","2026-09-02T09:00:00Z","200536","RAZORPAY SETTLEMENT","UTR15A"
"bank-setl_16-a","2026-09-02T09:00:00Z","296514","RAZORPAY SETTLEMENT","UTR16A"
"bank-setl_17-a","2026-09-02T09:00:00Z","24003","RAZORPAY SETTLEMENT","UTR17A"
"bank-setl_18-a","2026-09-02T09:00:00Z","189640","RAZORPAY SETTLEMENT","UTR18A"
"bank-setl_19-a","2026-09-02T09:00:00Z","-10963","RAZORPAY SETTLEMENT","UTR19A"
"bank-setl_20-a","2026-09-02T09:00:00Z","361455","RAZORPAY SETTLEMENT","UTR20A"
"bank-setl_21-a","2026-09-02T09:00:00Z","388712","RAZORPAY SETTLEMENT","UTR21A"
"bank-setl_22-a","2026-09-02T09:00:00Z","421830","RAZORPAY SETTLEMENT","UTR22A"
"bank-setl_23-a","2026-09-02T09:00:00Z","440986","RAZORPAY SETTLEMENT","UTR23A"
"bank-setl_24-a","2026-09-02T09:00:00Z","248045","RAZORPAY SETTLEMENT","UTR24A"
"bank-setl_25-a","2026-09-02T09:00:00Z","211000","RAZORPAY SETTLEMENT","UTR25A"
"bank-setl_26-a","2026-09-02T09:00:00Z","360079","RAZORPAY SETTLEMENT","UTR26A"
"bank-setl_27-a","2026-09-02T09:00:00Z","-214827","RAZORPAY SETTLEMENT","UTR27A"
"bank-setl_28-a","2026-09-02T09:00:00Z","258491","RAZORPAY SETTLEMENT","UTR28A"
"bank-setl_29-a","2026-09-02T09:00:00Z","273927","RAZORPAY SETTLEMENT","UTR29A"
"bank-setl_30-a","2026-09-02T09:00:00Z","9187","RAZORPAY SETTLEMENT","UTR30A"
"bank-setl_31-a","2026-09-02T09:00:00Z","229386","RAZORPAY SETTLEMENT","UTR31A"
"bank-setl_32-a","2026-09-02T09:00:00Z","233286","RAZORPAY SETTLEMENT","UTR32A"
"bank-setl_33-a","2026-09-02T09:00:00Z","-178975","RAZORPAY SETTLEMENT","UTR33A"
"bank-setl_34-a","2026-09-02T09:00:00Z","217556","RAZORPAY SETTLEMENT","UTR34A"
"bank-setl_35-a","2026-09-02T09:00:00Z","402437","RAZORPAY SETTLEMENT","UTR35A"
"bank-setl_36-a","2026-09-02T09:00:00Z","89521","RAZORPAY SETTLEMENT","UTR36A"
"bank-setl_37-a","2026-09-02T09:00:00Z","339457","RAZORPAY SETTLEMENT","UTR37A"
"bank-setl_38-a","2026-09-02T09:00:00Z","164039","CREDIT INWARD - BATCH REFERENCE LOST","UTR38A"
"bank-setl_40-a","2026-09-02T09:00:00Z","393090","RAZORPAY SETTLEMENT","UTR40A"
"bank-setl_40-b","2026-09-02T10:00:00Z","393090","RAZORPAY SETTLEMENT","UTR40B"
"bank-setl-novel-121-a","2026-09-02T09:00:00Z","1464600","RAZORPAY SETTLEMENT","UTR121A"
"bank-setl-novel-122-a","2026-09-02T09:00:00Z","-85000","NEFT INWARD CR CLEARING REF 20260902","UTR122A"
