ledgerId,entityType,razorpayEntityId,merchantReference,grossPaise,feePaise,taxPaise,netPaise,status,occurredAt,adjustmentReason
"led-1","payment","pay_0001","ORD-1","126723","2534","456","123733","captured","2026-09-01T10:00:00Z",""
"led-2","payment","pay_0002","ORD-2","11942","239","43","11660","captured","2026-09-01T10:00:00Z",""
"led-3","payment","pay_0003","ORD-3","136779","2736","492","133551","captured","2026-09-01T10:00:00Z",""
"led-4","payment","pay_0004","ORD-4","83548","1671","301","81576","captured","2026-09-01T10:00:00Z",""
"led-5","transfer","transfer_0005","ORD-5","67184","0","0","67184","transferred","2026-09-01T10:00:00Z",""
"led-6","payment","pay_0006","ORD-6","11229","225","41","10963","captured","2026-09-01T10:00:00Z",""
"led-7","transfer","transfer_0007","ORD-7","99830","0","0","99830","transferred","2026-09-01T10:00:00Z",""
"led-8","refund","refund_0008","ORD-8","120915","0","0","-120915","refunded","2026-09-01T10:00:00Z",""
"led-9","payment","pay_0009","ORD-9","91948","1839","331","89778","captured","2026-09-01T10:00:00Z",""
"led-10","payment","pay_0010","ORD-10","185101","3702","666","180733","captured","2026-09-01T10:00:00Z",""
"led-11","payment","pay_0011","ORD-11","142974","2859","515","139600","captured","2026-09-01T10:00:00Z",""
"led-12","payment","pay_0012","ORD-12","94584","1892","341","92351","captured","2026-09-01T10:00:00Z",""
"led-13","transfer","transfer_0013","ORD-13","165345","0","0","165345","transferred","2026-09-01T10:00:00Z",""
"led-14","payment","pay_0014","ORD-14","44153","883","159","43111","captured","2026-09-01T10:00:00Z",""
"led-15","transfer","transfer_0015","ORD-15","68386","0","0","68386","transferred","2026-09-01T10:00:00Z",""
"led-16","payment","pay_0016","ORD-16","65328","1307","235","63786","captured","2026-09-01T10:00:00Z",""
"led-17","payment","pay_0017","ORD-17","157713","3154","568","153991","captured","2026-09-01T10:00:00Z",""
"led-18","transfer","transfer_0018","ORD-18","109580","0","0","109580","transferred","2026-09-01T10:00:00Z",""
"led-19","refund","refund_0019","ORD-19","149161","0","0","-149161","refunded","2026-09-01T10:00:00Z",""
"led-20","payment","pay_0020","ORD-20","25843","517","93","25233","captured","2026-09-01T10:00:00Z",""
"led-21","payment","pay_0021","ORD-21","163121","3262","587","159272","captured","2026-09-01T10:00:00Z",""
"led-22","payment","pay_0022","ORD-22","176376","3528","635","172213","captured","2026-09-01T10:00:00Z",""
"led-23","payment","pay_0023","ORD-23","117159","2343","422","114394","captured","2026-09-01T10:00:00Z",""
"led-24","payment","pay_0024","ORD-24","26004","520","94","25390","captured","2026-09-01T10:00:00Z",""
"led-25","payment","pay_0025","ORD-25","60614","1212","218","59184","captured","2026-09-01T10:00:00Z",""
"led-26","payment","pay_0026","ORD-26","128965","2579","464","125922","captured","2026-09-01T10:00:00Z",""
"led-27","transfer","transfer_0027","ORD-27","159993","0","0","159993","transferred","2026-09-01T10:00:00Z",""
"led-28","payment","pay_0028","ORD-28","98818","1976","356","96486","captured","2026-09-01T10:00:00Z",""
"led-29","payment","pay_0029","ORD-29","41155","823","148","40184","captured","2026-09-01T10:00:00Z",""
"led-30","refund","refund_0030","ORD-30","127338","0","0","-127338","refunded","2026-09-01T10:00:00Z",""
"led-31","payment","pay_0031","ORD-31","136495","2730","491","133274","captured","2026-09-01T10:00:00Z",""
"led-32","payment","pay_0032","ORD-32","158927","3179","572","155176","captured","2026-09-01T10:00:00Z",""
