settlementId,entityType,entityId,createdAt,settledAt,grossPaise,feePaise,taxPaise,netPaise,referenceId,rawSourceId
"setl_1","payment","pay_0001","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","31763","635","114","31014","ORD-1","rp-1"
"setl_1","transfer","transfer_0002","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","104756","0","0","104756","ORD-2","rp-2"
"setl_1","transfer","transfer_0003","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","182223","0","0","182223","ORD-3","rp-3"
"setl_2","payment","pay_0004","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","159783","3196","575","156012","ORD-4","rp-4"
"setl_2","refund","refund_0005","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","127166","0","0","-127166","ORD-5","rp-5"
"setl_2","payment","pay_0006","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","180989","3620","652","176717","ORD-6","rp-6"
"setl_3","payment","pay_0007","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","154822","3096","557","151169","ORD-7","rp-7"
"setl_3","refund","refund_0008","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","114644","0","0","-114644","ORD-8","rp-8"
"setl_3","refund","refund_0009","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","106641","0","0","-106641","ORD-9","rp-9"
"setl_4","transfer","transfer_0010","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","106860","0","0","106860","ORD-10","rp-10"
"setl_4","payment","pay_0011","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","38805","776","140","37889","ORD-11","rp-11"
"setl_4","transfer","transfer_0012","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","106168","0","0","106168","ORD-12","rp-12"
"setl_5","adjustment","adjustment_0013","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","197071","0","0","197071","ORD-13","rp-13"
"setl_5","payment","pay_0014","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","131119","2622","472","128025","ORD-14","rp-14"
"setl_5","payment","pay_0015","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","31990","640","115","31235","ORD-15","rp-15"
"setl_6","refund","refund_0016","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","97134","0","0","-97134","ORD-16","rp-16"
"setl_6","payment","pay_0017","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","180424","3608","649","176167","ORD-17","rp-17"
"setl_6","adjustment","adjustment_0018","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","53981","0","0","53981","ORD-18","rp-18"
"setl_7","refund","refund_0019","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","94048","0","0","-94048","ORD-19","rp-19"
"setl_7","payment","pay_0020","2026-09-01T10:00:00Z","2026-09-02T06:00:00Z","34685","694","125","33866","ORD-20","rp-20"
