settlementRowId,financialTruth,expectedControllerDecision,scenario
"rp-1","CLOSEABLE","CLOSED","CLOSE"
"rp-2","CLOSEABLE","CLOSED","CLOSE"
"rp-3","CLOSEABLE","CLOSED","CLOSE"
"rp-4","CLOSEABLE","CLOSED","CLOSE"
"rp-5","CLOSEABLE","CLOSED","CLOSE"
"rp-6","CLOSEABLE","CLOSED","CLOSE"
"rp-7","CLOSEABLE","CLOSED","CLOSE"
"rp-8","CLOSEABLE","CLOSED","CLOSE"
"rp-9","CLOSEABLE","CLOSED","CLOSE"
"rp-10","CLOSEABLE","CLOSED","CLOSE"
"rp-11","CLOSEABLE","CLOSED","CLOSE"
"rp-12","CLOSEABLE","CLOSED","CLOSE"
"rp-13","CLOSEABLE","CLOSED","CLOSE"
"rp-14","CLOSEABLE","CLOSED","CLOSE"
"rp-15","CLOSEABLE","CLOSED","CLOSE"
"rp-16","CLOSEABLE","CLOSED","CLOSE"
"rp-17","CLOSEABLE","CLOSED","CLOSE"
"rp-18","CLOSEABLE","CLOSED","CLOSE"
"rp-19","CLOSEABLE","CLOSED","CLOSE"
"rp-20","CLOSEABLE","CLOSED","CLOSE"
"rp-21","CLOSEABLE","CLOSED","CLOSE"
"rp-22","CLOSEABLE","CLOSED","CLOSE"
"rp-23","CLOSEABLE","CLOSED","CLOSE"
"rp-24","CLOSEABLE","CLOSED","CLOSE"
"rp-25","CLOSEABLE","CLOSED","CLOSE"
"rp-26","CLOSEABLE","CLOSED","CLOSE"
"rp-27","CLOSEABLE","CLOSED","CLOSE"
"rp-28","CLOSEABLE","CLOSED","CLOSE"
"rp-29","CLOSEABLE","CLOSED","CLOSE"
"rp-30","CLOSEABLE","CLOSED","CLOSE"
"rp-31","CLOSEABLE","CLOSED","CLOSE"
"rp-32","CLOSEABLE","CLOSED","CLOSE"
"rp-33","CLOSEABLE","CLOSED","CLOSE"
"rp-34","CLOSEABLE","CLOSED","CLOSE"
"rp-35","CLOSEABLE","CLOSED","CLOSE"
"rp-36","CLOSEABLE","CLOSED","CLOSE"
"rp-37","CLOSEABLE","CLOSED","CLOSE"
"rp-38","CLOSEABLE","CLOSED","CLOSE"
"rp-39","CLOSEABLE","CLOSED","CLOSE"
"rp-40","CLOSEABLE","CLOSED","CLOSE"
"rp-41","CLOSEABLE","CLOSED","CLOSE"
"rp-42","CLOSEABLE","CLOSED","CLOSE"
"rp-43","CLOSEABLE","CLOSED","CLOSE"
"rp-44","CLOSEABLE","CLOSED","CLOSE"
"rp-45","CLOSEABLE","CLOSED","CLOSE"
"rp-46","CLOSEABLE","CLOSED","CLOSE"
"rp-47","CLOSEABLE","CLOSED","CLOSE"
"rp-48","CLOSEABLE","CLOSED","CLOSE"
"rp-49","CLOSEABLE","CLOSED","CLOSE"
"rp-50","CLOSEABLE","CLOSED","CLOSE"
"rp-51","CLOSEABLE","CLOSED","CLOSE"
"rp-52","CLOSEABLE","CLOSED","CLOSE"
"rp-53","CLOSEABLE","CLOSED","CLOSE"
"rp-54","CLOSEABLE","CLOSED","CLOSE"
"rp-55","CLOSEABLE","CLOSED","CLOSE"
"rp-56","CLOSEABLE","CLOSED","CLOSE"
"rp-57","CLOSEABLE","CLOSED","CLOSE"
"rp-58","CLOSEABLE","CLOSED","CLOSE"
"rp-59","CLOSEABLE","CLOSED","CLOSE"
"rp-60","CLOSEABLE","CLOSED","CLOSE"
"rp-61","CLOSEABLE","CLOSED","CLOSE"
"rp-62","CLOSEABLE","CLOSED","CLOSE"
"rp-63","CLOSEABLE","CLOSED","CLOSE"
"rp-64","CLOSEABLE","CLOSED","CLOSE"
"rp-65","CLOSEABLE","CLOSED","CLOSE"
"rp-66","CLOSEABLE","CLOSED","CLOSE"
"rp-67","CLOSEABLE","CLOSED","CLOSE"
"rp-68","CLOSEABLE","CLOSED","CLOSE"
"rp-69","CLOSEABLE","CLOSED","CLOSE"
"rp-70","CLOSEABLE","CLOSED","CLOSE"
"rp-71","CLOSEABLE","CLOSED","CLOSE"
"rp-72","CLOSEABLE","CLOSED","CLOSE"
"rp-73","CLOSEABLE","CLOSED","CLOSE"
"rp-74","CLOSEABLE","CLOSED","CLOSE"
"rp-75","CLOSEABLE","CLOSED","CLOSE"
"rp-76","CLOSEABLE","CLOSED","CLOSE"
"rp-77","CLOSEABLE","CLOSED","CLOSE"
"rp-78","CLOSEABLE","CLOSED","CLOSE"
"rp-79","CLOSEABLE","CLOSED","CLOSE"
"rp-80","CLOSEABLE","CLOSED","CLOSE"
"rp-81","CLOSEABLE","CLOSED","CLOSE"
"rp-82","CLOSEABLE","CLOSED","CLOSE"
"rp-83","CLOSEABLE","CLOSED","CLOSE"
"rp-84","CLOSEABLE","CLOSED","CLOSE"
"rp-85","CLOSEABLE","CLOSED","CLOSE"
"rp-86","CLOSEABLE","CLOSED","CLOSE"
"rp-87","CLOSEABLE","CLOSED","CLOSE"
"rp-88","CLOSEABLE","CLOSED","CLOSE"
"rp-89","CLOSEABLE","CLOSED","CLOSE"
"rp-90","CLOSEABLE","CLOSED","CLOSE"
"rp-91","CLOSEABLE","CLOSED","CLOSE"
"rp-92","CLOSEABLE","CLOSED","CLOSE"
"rp-93","CLOSEABLE","CLOSED","CLOSE"
"rp-94","CLOSEABLE","CLOSED","CLOSE"
"rp-95","CLOSEABLE","CLOSED","CLOSE"
"rp-96","CLOSEABLE","CLOSED","CLOSE"
